Statistical profiling result from isolate-0x3c50778-v8.log, (22345 ticks, 1749 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    103    0.5%    0.5%  v8::internal::LookupIterator::PropertyOrElement(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*, v8::internal::LookupIterator::Configuration)
     87    0.4%    0.4%  v8::internal::JSObject::FastPropertyAt(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Representation, v8::internal::FieldIndex)
     78    0.3%    0.4%  v8::internal::FieldIndex::ForDescriptor(v8::internal::Map const*, int)
     71    0.3%    0.3%  v8::EscapableHandleScope::EscapableHandleScope(v8::Isolate*)
     70    0.3%    0.3%  _init
     65    0.3%    0.3%  v8::internal::String::SlowEquals(v8::internal::String*)
     61    0.3%    0.3%  v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*) [clone .part.64]
     61    0.3%    0.3%  v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
     59    0.3%    0.3%  v8::base::Thread::GetThreadLocal(int)
     58    0.3%    0.3%  v8::internal::StringTable::LookupStringIfExists_NoAllocate(v8::internal::String*)
     58    0.3%    0.3%  v8::internal::JsonParser<false>::ScanJsonString()
     55    0.2%    0.2%  v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*)
     50    0.2%    0.2%  v8::internal::(anonymous namespace)::MakeStringThin(v8::internal::String*, v8::internal::String*, v8::internal::Isolate*)
     48    0.2%    0.2%  v8::Object::Get(v8::Local<v8::Context>, v8::Local<v8::Value>)
     47    0.2%    0.2%  v8::HandleScope::~HandleScope()
     46    0.2%    0.2%  v8::EscapableHandleScope::Escape(v8::internal::Object**)
     45    0.2%    0.2%  v8::internal::StringTable::LookupString(v8::internal::Isolate*, v8::internal::Handle<v8::internal::String>)
     45    0.2%    0.2%  v8::internal::IntToCString(int, v8::internal::Vector<char>)
     44    0.2%    0.2%  v8::(anonymous namespace)::CallDepthScope<false>::CallDepthScope(v8::internal::Isolate*, v8::Local<v8::Context>)
     43    0.2%    0.2%  node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     43    0.2%    0.2%  __pthread_mutex_unlock_usercnt
     42    0.2%    0.2%  v8::internal::JsonParser<false>::ParseJsonObject()
     41    0.2%    0.2%  v8::internal::LookupIterator::GetDataValue() const
     40    0.2%    0.2%  v8::internal::ConsString* v8::internal::String::VisitFlat<v8::internal::IteratingStringHasher>(v8::internal::IteratingStringHasher*, v8::internal::String*, int)
     39    0.2%    0.2%  v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObjectReference**, v8::internal::HeapObject*)
     39    0.2%    0.2%  v8::internal::Factory::NewFixedArrayWithFiller(v8::internal::Heap::RootListIndex, int, v8::internal::Object*, v8::internal::PretenureFlag)
     39    0.2%    0.2%  node::InternalCallbackScope::Close()
     38    0.2%    0.2%  v8::internal::Object::GetProperty(v8::internal::LookupIterator*)
     37    0.2%    0.2%  __write
     36    0.2%    0.2%  v8::Context::Exit()
     36    0.2%    0.2%  v8::Context::Enter()
     35    0.2%    0.2%  __udivmoddi4
     35    0.2%    0.2%  __libc_malloc
     34    0.2%    0.2%  void v8::internal::LookupIterator::NextInternal<false>(v8::internal::Map*, v8::internal::JSReceiver*)
     33    0.1%    0.1%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
     33    0.1%    0.1%  v8::internal::PropertyDescriptor::ToPropertyDescriptor(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyDescriptor*)
     33    0.1%    0.1%  v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<true>(v8::internal::Map*, v8::internal::JSReceiver*) [clone .part.62]
     32    0.1%    0.1%  v8::internal::Runtime::GetObjectProperty(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, bool*)
     31    0.1%    0.1%  v8::internal::JSObject::GetElementsAccessor()
     31    0.1%    0.1%  memcmp
     30    0.1%    0.1%  v8::internal::JsonStringifier::StackPush(v8::internal::Handle<v8::internal::Object>)
     30    0.1%    0.1%  v8::internal::JsonParser<false>::ParseJsonNumber()
     30    0.1%    0.1%  v8::Locker::IsActive()
     30    0.1%    0.1%  node::(anonymous namespace)::TimerWrap::Now(v8::FunctionCallbackInfo<v8::Value> const&)
     29    0.1%    0.1%  v8::internal::Logger::ApiEntryCall(char const*)
     28    0.1%    0.1%  v8::HandleScope::HandleScope(v8::Isolate*)
     24    0.1%    0.1%  v8::internal::JSArray::SetLength(v8::internal::Handle<v8::internal::JSArray>, unsigned int)
